time,open,high,low,close,tick_volume
2024-11-29 00:00:00,1.05477,1.05477,1.05477,1.05477,1
2024-11-29 00:01:00,1.05477,1.05525,1.05469,1.05469,4
2024-11-29 00:03:00,1.05469,1.05469,1.05469,1.05469,1
2024-11-29 00:04:00,1.05477,1.05478,1.05469,1.05469,3
2024-11-29 00:05:00,1.05464,1.05516,1.05464,1.0549,7
2024-11-29 00:06:00,1.05488,1.05498,1.05474,1.05495,20
2024-11-29 00:07:00,1.05496,1.05504,1.05496,1.05504,9
2024-11-29 00:08:00,1.05511,1.05512,1.05496,1.05496,8
2024-11-29 00:09:00,1.05496,1.05499,1.05494,1.05499,8
2024-11-29 00:10:00,1.05484,1.05496,1.05482,1.05496,7
2024-11-29 00:11:00,1.05496,1.05499,1.05469,1.05475,28
2024-11-29 00:12:00,1.05498,1.05502,1.05475,1.055,23
2024-11-29 00:13:00,1.05503,1.05506,1.05478,1.05495,32
2024-11-29 00:14:00,1.05495,1.05497,1.05471,1.05471,21
2024-11-29 00:15:00,1.05507,1.05507,1.05504,1.05505,6
2024-11-29 00:16:00,1.05505,1.05505,1.05505,1.05505,1
2024-11-29 00:17:00,1.0549,1.0554,1.0549,1.0554,16
2024-11-29 00:18:00,1.0554,1.05546,1.05539,1.05546,5
2024-11-29 00:19:00,1.0553,1.05546,1.05528,1.05528,7
2024-11-29 00:20:00,1.0553,1.05546,1.05528,1.05529,4
2024-11-29 00:21:00,1.05529,1.05546,1.05529,1.05546,4
2024-11-29 00:22:00,1.05546,1.05546,1.05546,1.05546,1
2024-11-29 00:23:00,1.05531,1.0555,1.05531,1.05541,6
2024-11-29 00:24:00,1.05531,1.05543,1.05531,1.05542,5
2024-11-29 00:25:00,1.05529,1.05542,1.05529,1.05541,4
2024-11-29 00:26:00,1.05541,1.05543,1.05541,1.05543,3
2024-11-29 00:27:00,1.05529,1.05529,1.05498,1.05509,10
2024-11-29 00:28:00,1.05509,1.05509,1.05489,1.05508,4
2024-11-29 00:29:00,1.05508,1.05511,1.05508,1.05508,4
2024-11-29 00:30:00,1.05508,1.05517,1.05504,1.05516,8
2024-11-29 00:31:00,1.05517,1.05521,1.05517,1.05521,3
2024-11-29 00:32:00,1.05521,1.05529,1.05504,1.05516,7
2024-11-29 00:33:00,1.05506,1.0552,1.05506,1.0552,3
2024-11-29 00:34:00,1.0552,1.05521,1.0552,1.05521,2
2024-11-29 00:35:00,1.05521,1.05531,1.05521,1.05531,3
2024-11-29 00:36:00,1.05531,1.05531,1.05525,1.05531,7
2024-11-29 00:37:00,1.05531,1.05531,1.05495,1.05523,10
2024-11-29 00:38:00,1.05523,1.05523,1.05523,1.05523,1
2024-11-29 00:39:00,1.05524,1.05526,1.05524,1.05526,3
2024-11-29 00:40:00,1.05525,1.05528,1.05504,1.05515,6
2024-11-29 00:41:00,1.05518,1.05524,1.05493,1.05523,6
2024-11-29 00:42:00,1.05524,1.05525,1.05523,1.05524,5
2024-11-29 00:43:00,1.05525,1.05526,1.05525,1.05526,2
2024-11-29 00:44:00,1.05526,1.05526,1.05496,1.05496,3
2024-11-29 00:45:00,1.05525,1.05553,1.05525,1.05553,18
2024-11-29 00:46:00,1.05542,1.05553,1.0554,1.0554,5
2024-11-29 00:47:00,1.05535,1.05535,1.05531,1.05532,4
2024-11-29 00:48:00,1.05532,1.05546,1.0553,1.05546,12
2024-11-29 00:49:00,1.05546,1.05548,1.05546,1.05548,3
2024-11-29 00:50:00,1.05548,1.05549,1.05538,1.05549,9
2024-11-29 00:51:00,1.05549,1.05549,1.05542,1.05546,5
2024-11-29 00:52:00,1.05546,1.05547,1.05546,1.05546,3
2024-11-29 00:53:00,1.05546,1.05546,1.05507,1.05546,3
2024-11-29 00:54:00,1.05546,1.05546,1.05546,1.05546,1
2024-11-29 00:55:00,1.05546,1.05546,1.05511,1.05511,9
2024-11-29 00:56:00,1.05511,1.05512,1.05505,1.05505,8
2024-11-29 00:57:00,1.05506,1.05506,1.05505,1.05506,5
2024-11-29 00:58:00,1.05506,1.05506,1.05505,1.05506,3
2024-11-29 00:59:00,1.05505,1.05505,1.055,1.05504,10
2024-11-29 01:00:00,1.05503,1.05549,1.05492,1.05548,44
2024-11-29 01:01:00,1.05548,1.05552,1.05535,1.0555,13
2024-11-29 01:02:00,1.0555,1.05554,1.0555,1.05554,3
2024-11-29 01:03:00,1.05552,1.05555,1.0555,1.05555,8
2024-11-29 01:04:00,1.05555,1.05557,1.05554,1.05557,4
2024-11-29 01:05:00,1.05547,1.05547,1.05543,1.05543,2
2024-11-29 01:06:00,1.05544,1.05544,1.0553,1.05537,10
2024-11-29 01:07:00,1.05538,1.05538,1.05537,1.05537,26
2024-11-29 01:08:00,1.05538,1.05543,1.05537,1.05542,28
2024-11-29 01:09:00,1.05542,1.05542,1.05542,1.05542,1
2024-11-29 01:10:00,1.05543,1.05558,1.05542,1.05558,12
2024-11-29 01:11:00,1.05558,1.05564,1.05558,1.05564,3
2024-11-29 01:12:00,1.05565,1.05568,1.05562,1.05563,8
2024-11-29 01:13:00,1.05563,1.05564,1.05563,1.05564,2
2024-11-29 01:14:00,1.05564,1.05573,1.05564,1.0557,12
2024-11-29 01:15:00,1.05571,1.0558,1.05565,1.0558,9
2024-11-29 01:16:00,1.05588,1.05603,1.05588,1.056,14
2024-11-29 01:17:00,1.056,1.05605,1.056,1.05605,7
2024-11-29 01:18:00,1.05604,1.0562,1.056,1.0562,14
2024-11-29 01:19:00,1.05619,1.05619,1.05604,1.05605,17
2024-11-29 01:20:00,1.05605,1.0562,1.05604,1.05619,13
2024-11-29 01:21:00,1.05619,1.05619,1.05609,1.05611,10
2024-11-29 01:22:00,1.0561,1.0561,1.05609,1.05609,4
2024-11-29 01:23:00,1.05609,1.05611,1.05604,1.05604,16
2024-11-29 01:24:00,1.05605,1.05608,1.05599,1.056,17
2024-11-29 01:25:00,1.056,1.05601,1.05597,1.05601,11
2024-11-29 01:26:00,1.056,1.056,1.05594,1.05598,6
2024-11-29 01:27:00,1.05598,1.05598,1.05595,1.05595,13
2024-11-29 01:28:00,1.05595,1.05596,1.05593,1.05595,11
2024-11-29 01:29:00,1.05595,1.05595,1.05591,1.05592,9
2024-11-29 01:30:00,1.05592,1.05594,1.05587,1.05589,11
2024-11-29 01:31:00,1.05589,1.05595,1.05584,1.0559,13
2024-11-29 01:32:00,1.0559,1.05595,1.05589,1.05595,9
2024-11-29 01:33:00,1.05595,1.05595,1.05588,1.0559,14
2024-11-29 01:34:00,1.05589,1.05591,1.05589,1.05589,9
2024-11-29 01:35:00,1.0559,1.0559,1.0556,1.05561,21
2024-11-29 01:36:00,1.0556,1.05585,1.0556,1.05575,13
2024-11-29 01:37:00,1.05575,1.05575,1.0557,1.05574,20
2024-11-29 01:38:00,1.05574,1.05585,1.05574,1.0558,15
2024-11-29 01:39:00,1.0558,1.05583,1.0558,1.05583,5
2024-11-29 01:40:00,1.05583,1.056,1.05583,1.05595,13
2024-11-29 01:41:00,1.05595,1.05595,1.05586,1.05587,13
2024-11-29 01:42:00,1.05586,1.0559,1.05585,1.05587,16
2024-11-29 01:43:00,1.05587,1.05594,1.05586,1.05594,11
2024-11-29 01:44:00,1.05592,1.05595,1.05583,1.05595,13
2024-11-29 01:45:00,1.05595,1.05598,1.05595,1.05597,14
2024-11-29 01:46:00,1.05597,1.05597,1.0559,1.05594,9
2024-11-29 01:47:00,1.05595,1.05598,1.0559,1.05597,12
2024-11-29 01:48:00,1.05596,1.056,1.0559,1.056,14
2024-11-29 01:49:00,1.05597,1.05603,1.05597,1.05602,7
2024-11-29 01:50:00,1.056,1.05604,1.05596,1.05603,14
2024-11-29 01:51:00,1.05603,1.05605,1.056,1.05604,10
2024-11-29 01:52:00,1.05603,1.05608,1.05603,1.05603,11
2024-11-29 01:53:00,1.05603,1.05605,1.05601,1.05605,9
2024-11-29 01:54:00,1.05607,1.05608,1.05603,1.05608,12
2024-11-29 01:55:00,1.05608,1.0562,1.05608,1.05619,8
2024-11-29 01:56:00,1.05619,1.0562,1.0561,1.0561,16
2024-11-29 01:57:00,1.05611,1.05614,1.05608,1.0561,16
2024-11-29 01:58:00,1.0561,1.05612,1.05604,1.05604,16
2024-11-29 01:59:00,1.05601,1.05603,1.05597,1.056,19
2024-11-29 02:00:00,1.056,1.0561,1.05599,1.05609,24
2024-11-29 02:01:00,1.05608,1.05609,1.05596,1.05599,20
2024-11-29 02:02:00,1.05599,1.056,1.05585,1.05591,24
2024-11-29 02:03:00,1.0559,1.05595,1.05589,1.05589,12
2024-11-29 02:04:00,1.05591,1.05603,1.05591,1.05597,23
2024-11-29 02:05:00,1.05597,1.05602,1.05594,1.05594,21
2024-11-29 02:06:00,1.05594,1.05599,1.05591,1.05593,17
2024-11-29 02:07:00,1.05593,1.05604,1.05593,1.05599,26
