Date,Open,High,Low,Close,Adj Close,Volume,return,label
2020-01-02,1.1218937927914185,1.11668209181675,1.1227124952136271,1.1220825777136014,1.1220825777136014,0,0.0,0
2020-01-03,1.117081289339039,1.1125698347917734,1.1180679778177955,1.1171436967092128,1.1171436967092128,0,-0.10217342842298317,0
2020-01-06,1.1162458216170725,1.1158098921721327,1.1208249357723539,1.1161959902354566,1.1161959902354566,0,-0.019605740546549563,1
2020-01-07,1.1195825866542561,1.113486559818818,1.1199462550205683,1.1197995186198897,1.1197995186198897,0,0.07454823251054206,0
2020-01-08,1.1155734360629124,1.1110864162046858,1.1165200109194877,1.115473823603154,1.115473823603154,0,-0.08948810262473625,0
2020-01-09,1.1114445114645843,1.1095084716563814,1.112223327485126,1.111321047422334,1.111321047422334,0,-0.0859108327353195,0
2020-01-10,1.1109259554902986,1.1086228962405236,1.112099616646426,1.1111111405455043,1.1111111405455043,0,-0.004342462439609208,1
2020-01-13,1.1116546179885227,1.1114074767340767,1.1144669054687557,1.1116669190087825,1.1116669190087825,0,0.01149770382933413,1
2020-01-14,1.1134493888783255,1.1105558440155467,1.1145787037092398,1.1135733263029841,1.1135733263029841,0,0.03943892736959696,0
2020-01-15,1.1129660232306193,1.1120254623177885,1.1163454977295102,1.1130899269146484,1.1130899269146484,0,-0.010000356914845326,1
2020-01-16,1.115269833060674,1.1129784271244019,1.1171936127473365,1.1154004792630061,1.1154004792630061,0,0.047799704988378905,0
2020-01-17,1.113800283847123,1.1087580714691347,1.1145004425858973,1.1139578778356443,1.1139578778356443,0,-0.02984391273053048,0
2020-01-20,1.109520798601322,1.1077509478850727,1.1104941704936422,1.1094592399829228,1.1094592399829228,0,-0.09306586901719645,1
2020-01-21,1.1096439363339654,1.1086474378031816,1.111976007025567,1.1096931844007603,1.1096931844007603,0,0.004839740663852366,0
2020-01-22,1.1085859760558556,1.107162251724025,1.1097793606848276,1.1085614372141868,1.1085614372141868,0,-0.023413095002193296,1
2020-01-23,1.109754768983544,1.1037040150902295,1.1103215357646394,1.1096439363339654,1.1096439363339654,0,0.022394272353264816,0
2020-01-24,1.1055343018621329,1.1021227002755567,1.1060845867907234,1.105522063338739,1.105522063338739,0,-0.08527152103323832,0
2020-01-27,1.1026330685895713,1.1010063345275787,1.1039964855763733,1.1025358260385552,1.1025358260385552,0,-0.06177798225412954,0
2020-01-28,1.1019648179748596,1.0998558871032822,1.102657418142855,1.1019769778645843,1.1019769778645843,0,-0.011561208672934566,1
2020-01-29,1.1022927946839383,1.0993238822532279,1.1030222829065501,1.102256294908137,1.102256294908137,0,0.00577838986835031,0
2020-01-30,1.101406476058028,1.1008245021469312,1.103655297174621,1.101685576273556,1.101685576273556,0,-0.011806779614289083,1
2020-01-31,1.1028763225290272,1.1017948247635525,1.1090162781424875,1.1029127908757805,1.1029127908757805,0,0.02538808349676931,1
2020-02-03,1.108905592944551,1.1043500246216134,1.108905592944551,1.1089794050561064,1.1089794050561064,0,0.12550348331384864,0
2020-02-04,1.1062925985909506,1.103387389214644,1.1065619193790617,1.1062925985909506,1.1062925985909506,0,-0.05558348699028395,0
2020-02-05,1.1044720172315692,1.0998317332212428,1.1048503074535507,1.104728231267074,1.104728231267074,0,-0.032362952792611144,0
2020-02-06,1.1000495169994378,1.0965513554198953,1.1012852319597695,1.1002310212756246,1.1002310212756246,0,-0.09303633004241019,0
2020-02-07,1.0981046370220848,1.094690736720578,1.098699494985877,1.0982976507390354,1.0982976507390354,0,-0.039996731235225985,0
2020-02-10,1.0948705482504941,1.0909598586953038,1.0961306700037776,1.0949304985547195,1.0949304985547195,0,-0.06965818418945294,0
2020-02-11,1.0912265203460685,1.0893483336860126,1.0927003321109732,1.091345630637373,1.091345630637373,0,-0.07416219285975413,1
2020-02-12,1.0921799891011255,1.0887079525467793,1.092499747504725,1.091941501274295,1.091941501274295,0,0.012327113331300998,0
2020-02-13,1.0876422046159466,1.0835527439649564,1.0890873258015012,1.08759489430136,1.08759489430136,0,-0.08992072010590671,0
2020-02-14,1.0845987091392217,1.0831302234762565,1.086248102554175,1.0845987091392217,1.0845987091392217,0,-0.061983779308251136,0
2020-02-17,1.0840578223066208,1.0830246448358167,1.0854003786463342,1.0841753726889678,1.0841753726889678,0,-0.008757800898710833,0
2020-02-18,1.083705394053643,1.0786904762057845,1.0839003811659729,1.0840108232987542,1.0840108232987542,0,-0.003404126426227919,0
2020-02-19,1.0794706524745694,1.078360103876551,1.080847401283832,1.0795405284487793,1.0795405284487793,0,-0.0924795212676059,1
2020-02-20,1.0809641867651663,1.077957898437717,1.0820999990196276,1.081009807507087,1.081009807507087,0,0.030395807990513807,0
2020-02-21,1.078771904375371,1.078771904375371,1.0863661284506347,1.0787998591283123,1.0787998591283123,0,-0.045718453693576924,1
2020-02-24,1.083858087158847,1.080847401283832,1.0863661284506347,1.0839050729231245,1.0839050729231245,0,0.10561444905936504,1
2020-02-25,1.0849046422030297,1.0831771461538828,1.088174817635612,1.0849199363709796,1.0849199363709796,0,0.02099505490340444,1
2020-02-26,1.0881002204125285,1.0855641560997478,1.090357972320329,1.0881996621221495,1.0881996621221495,0,0.06784954405388582,1
2020-02-27,1.0885656850777259,1.0885656850777259,1.1005700954479873,1.0885894172848152,1.0885894172848152,0,0.008063085783951164,1
2020-02-28,1.0995535713993132,1.095158283812389,1.105277713837883,1.0997228736659714,1.0997228736659714,0,0.2303241174771491,1
2020-03-02,1.105253248422447,1.1037284119666382,1.1164078229123302,1.1051311559778645,1.1051311559778645,0,0.11188419911199904,1
2020-03-03,1.1144296690478102,1.1097301049689168,1.1207495384491235,1.1144047968009283,1.1144047968009283,0,0.1918490597392009,1
