Order_Type,Volume,Open_Price,Close_Price,Stop_Loss,Take_Profit,Outcome,Profit_Loss,Trade_Open_Time,Trade_Close_Time,Duration,Margin
Sell,,1.08815,1.08814,1.0882,1.08795,Profit,1.9999999999686935e-05,2024-10-16 10:13:58.151021,2024-10-16 10:14:28.403766,0 days 00:00:30.252745,2.0
Sell,,1.08809,1.08815,1.08814,1.08789,Loss,-0.00011999999999989797,2024-10-16 10:14:28.887565,2024-10-16 10:14:59.614321,0 days 00:00:30.726756,2.0
Sell,,1.08809,1.0881,1.08814,1.08789,Loss,-2.0000000000131024e-05,2024-10-16 10:15:00.054784,2024-10-16 10:15:30.461174,0 days 00:00:30.406390,2.0
Sell,,1.08806,1.08805,1.0881100000000001,1.08786,Profit,2.0000000000131024e-05,2024-10-16 10:15:30.903918,2024-10-16 10:16:01.285131,0 days 00:00:30.381213,2.0
Sell,,1.088,1.08806,1.0880500000000002,1.0878,Loss,-0.00011999999999989797,2024-10-16 10:16:01.733994,2024-10-16 10:16:31.904153,0 days 00:00:30.170159,2.0
Sell,,1.08801,1.08812,1.08806,1.08781,Loss,-0.000220000000000109,2024-10-16 10:16:32.404078,2024-10-16 10:17:02.577485,0 days 00:00:30.173407,2.0
Sell,,1.08808,1.08822,1.08813,1.08788,Loss,-0.000280000000000058,2024-10-16 10:17:02.973751,2024-10-16 10:17:33.188906,0 days 00:00:30.215155,2.0
Sell,,1.08817,1.08824,1.0882200000000002,1.08797,Loss,-0.000140000000000029,2024-10-16 10:17:33.605416,2024-10-16 10:18:03.810169,0 days 00:00:30.204753,2.0
Sell,,1.0882,1.08825,1.0882500000000002,1.088,Loss,-9.999999999976694e-05,2024-10-16 10:18:04.254893,2024-10-16 10:18:34.416627,0 days 00:00:30.161734,2.0
Sell,,1.08821,1.08826,1.08826,1.08801,Loss,-0.00010000000000021103,2024-10-16 10:18:34.828444,2024-10-16 10:19:05.124137,0 days 00:00:30.295693,2.0
Sell,,1.08821,1.08826,1.08826,1.08801,Loss,-0.00010000000000021103,2024-10-16 10:19:05.518288,2024-10-16 10:19:35.765737,0 days 00:00:30.247449,2.0
Sell,,1.08822,1.08841,1.08827,1.08802,Loss,-0.000380000000000269,2024-10-16 10:19:36.277819,2024-10-16 10:20:07.090093,0 days 00:00:30.812274,2.0
Sell,,1.08837,1.08839,1.0884200000000002,1.08817,Loss,-3.999999999981796e-05,2024-10-16 10:20:07.574776,2024-10-16 10:20:37.865671,0 days 00:00:30.290895,2.0
Sell,,1.08835,1.08842,1.0884,1.08815,Loss,-0.000140000000000029,2024-10-16 10:20:38.270380,2024-10-16 10:21:09.727555,0 days 00:00:31.457175,2.0
Sell,,1.08837,1.08834,1.0884200000000002,1.08817,Profit,5.999999999994898e-05,2024-10-16 10:21:10.105589,2024-10-16 10:21:40.445382,0 days 00:00:30.339793,2.0
Sell,,1.0883,1.08829,1.0883500000000002,1.0881,Profit,2.0000000000131024e-05,2024-10-16 10:21:40.870799,2024-10-16 10:22:11.207582,0 days 00:00:30.336783,2.0
Sell,,1.08824,1.0883099999999999,1.0882900000000002,1.0880400000000001,Loss,-0.0001399999999995849,2024-10-16 10:22:11.765637,2024-10-16 10:22:42.127363,0 days 00:00:30.361726,2.0
Sell,,1.08827,1.08821,1.0883200000000002,1.08807,Profit,0.00012000000000034206,2024-10-16 10:22:42.540536,2024-10-16 10:23:12.835214,0 days 00:00:30.294678,2.0
Sell,,1.08817,1.08817,1.0882200000000002,1.08797,Loss,0.0,2024-10-16 10:23:13.281388,2024-10-16 10:23:43.881838,0 days 00:00:30.600450,2.0
Sell,,1.08813,1.08807,1.0881800000000001,1.08793,Profit,0.00011999999999989797,2024-10-16 10:23:44.307015,2024-10-16 10:24:14.457821,0 days 00:00:30.150806,2.0
