Order_Type,Volume,Open_Price,Close_Price,Stop_Loss,Take_Profit,Outcome
Sell,2.0,1.0959,1.09602,1.1059,1.0859,Profit
Sell,2.0,1.0959699999999999,1.09607,1.10597,1.0859699999999999,Profit
Buy,2.0,1.09606,1.09607,1.08606,1.10606,Profit
Buy,2.0,1.09612,1.09606,1.08612,1.10612,Loss
Buy,2.0,1.09611,1.09615,1.08611,1.10611,Profit
Buy,2.0,1.09621,1.09611,1.08621,1.10621,Loss
Buy,2.0,1.09615,1.09615,1.08615,1.10615,Loss
Sell,2.0,1.09619,1.09619,1.10619,1.08619,Loss
Buy,2.0,1.0962,1.09622,1.0862,1.1062,Profit
Buy,2.0,1.09627,1.0961400000000001,1.08627,1.10627,Loss
Sell,2.0,1.09615,1.09618,1.10615,1.08615,Profit
Sell,2.0,1.0961400000000001,1.0962,1.1061400000000001,1.08614,Profit
Sell,2.0,1.09617,1.09616,1.10617,1.08617,Loss
Buy,2.0,1.09616,1.09623,1.08616,1.10616,Profit
Buy,2.0,1.09626,1.09617,1.08626,1.10626,Loss
Buy,2.0,1.09622,1.09615,1.08622,1.10622,Loss
Sell,2.0,1.09615,1.09626,1.10615,1.08615,Profit
Buy,2.0,1.09627,1.09627,1.08627,1.10627,Loss
Buy,2.0,1.09631,1.09615,1.0863099999999999,1.10631,Loss
Buy,2.0,1.09626,1.09635,1.08626,1.10626,Profit
Buy,2.0,1.09641,1.09637,1.08641,1.1064100000000001,Loss
Buy,2.0,1.09641,1.09632,1.08641,1.1064100000000001,Loss
Buy,2.0,1.09636,1.09627,1.08636,1.10636,Loss
Buy,2.0,1.09631,1.0963,1.0863099999999999,1.10631,Loss
Buy,2.0,1.09634,1.09631,1.08634,1.10634,Loss
Buy,2.0,1.09636,1.09636,1.08636,1.10636,Loss
Buy,2.0,1.09641,1.09631,1.08641,1.1064100000000001,Loss
Buy,2.0,1.09636,1.09631,1.08636,1.10636,Loss
Buy,2.0,1.09634,1.09632,1.08634,1.10634,Loss
Buy,2.0,1.09629,1.0962,1.08629,1.10629,Loss
Buy,2.0,1.09624,1.09607,1.08624,1.1062400000000001,Loss
Buy,2.0,1.09611,1.09609,1.08611,1.10611,Loss
Buy,2.0,1.09616,1.09607,1.08616,1.10616,Loss
Buy,2.0,1.09611,1.09606,1.08611,1.10611,Loss
Buy,2.0,1.09611,1.09602,1.08611,1.10611,Loss
Buy,2.0,1.09607,1.0961,1.08607,1.10607,Profit
Buy,2.0,1.09615,1.09602,1.08615,1.10615,Loss
Buy,2.0,1.09607,1.09608,1.08607,1.10607,Profit
Buy,2.0,1.09612,1.09598,1.08612,1.10612,Loss
Sell,2.0,1.09598,1.09604,1.10598,1.08598,Profit
Buy,2.0,1.09606,1.09607,1.08606,1.10606,Profit
Buy,2.0,1.09611,1.09617,1.08611,1.10611,Profit
Buy,2.0,1.09621,1.09624,1.08621,1.10621,Profit
Buy,2.0,1.09631,1.09622,1.0863099999999999,1.10631,Loss
Buy,2.0,1.09626,1.09612,1.08626,1.10626,Loss
Buy,2.0,1.09619,1.09613,1.08619,1.10619,Loss
Buy,2.0,1.09612,1.09611,1.08612,1.10612,Loss
Buy,2.0,1.09616,1.09607,1.08616,1.10616,Loss
Buy,2.0,1.09615,1.09603,1.08615,1.10615,Loss
Buy,2.0,1.09606,1.09587,1.08606,1.10606,Loss
Sell,2.0,1.09587,1.09585,1.10587,1.08587,Loss
Sell,2.0,1.09581,1.09581,1.10581,1.08581,Loss
Sell,2.0,1.09576,1.09581,1.10576,1.08576,Profit
Sell,2.0,1.09577,1.09579,1.10577,1.08577,Profit
Sell,2.0,1.09575,1.09569,1.10575,1.08575,Loss
Sell,2.0,1.09577,1.09576,1.10577,1.08577,Loss
Sell,2.0,1.09576,1.09575,1.10576,1.08576,Loss
Sell,2.0,1.09571,1.09574,1.10571,1.08571,Profit
Sell,2.0,1.09575,1.09575,1.10575,1.08575,Loss
Sell,2.0,1.0957,1.09576,1.1057,1.0856999999999999,Profit
Sell,2.0,1.09571,1.0957,1.10571,1.08571,Loss
Sell,2.0,1.09566,1.09574,1.10566,1.08566,Profit
Sell,2.0,1.09572,1.09577,1.10572,1.08572,Profit
Sell,2.0,1.09569,1.09581,1.10569,1.08569,Profit
Sell,2.0,1.09572,1.09576,1.10572,1.08572,Profit
Sell,2.0,1.09574,1.09579,1.10574,1.08574,Profit
Sell,2.0,1.0957,1.09575,1.1057,1.0856999999999999,Profit
Sell,2.0,1.09571,1.09576,1.10571,1.08571,Profit
Sell,2.0,1.0957,1.09571,1.1057,1.0856999999999999,Profit
Sell,2.0,1.09565,1.09566,1.10565,1.08565,Profit
Sell,2.0,1.09561,1.09545,1.10561,1.08561,Loss
Sell,2.0,1.09541,1.09552,1.10541,1.08541,Profit
