ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id,outcome,formatted_type,Cumulative_Profit_Loss
51673498304,51705562953,2024-10-16 10:14:00,1729073640803,1,0,234000,51705562953,3,2.0,1.08815,0.0,0.0,0.0,0.0,EURUSD,Python script op,,no profit/loss,sell,0.0
51673498336,51705562986,2024-10-16 10:14:01,1729073641701,0,1,234000,51705562953,4,2.0,1.0882,0.0,0.0,-10.0,0.0,EURUSD,[sl 1.08820],,loss,buy,-10.0
51673499968,51705564632,2024-10-16 10:14:31,1729073671544,1,0,234000,51705564632,3,2.0,1.08809,0.0,0.0,0.0,0.0,EURUSD,Python script op,,no profit/loss,sell,-10.0
51673500235,51705564901,2024-10-16 10:14:34,1729073674438,0,1,234000,51705564632,4,2.0,1.08814,0.0,0.0,-10.0,0.0,EURUSD,[sl 1.08814],,loss,buy,-20.0
51673501982,51705566670,2024-10-16 10:15:02,1729073702687,1,0,234000,51705566670,3,2.0,1.08809,0.0,0.0,0.0,0.0,EURUSD,Python script op,,no profit/loss,sell,-20.0
51673501991,51705566680,2024-10-16 10:15:02,1729073702893,0,1,234000,51705566670,4,2.0,1.08814,0.0,0.0,-10.0,0.0,EURUSD,[sl 1.08814],,loss,buy,-30.0
51673504093,51705568806,2024-10-16 10:15:33,1729073733535,1,0,234000,51705568806,3,2.0,1.08806,0.0,0.0,0.0,0.0,EURUSD,Python script op,,no profit/loss,sell,-30.0
51673505803,51705570533,2024-10-16 10:16:03,1729073763761,0,1,234000,51705568806,3,2.0,1.08805,0.0,0.0,2.0,0.0,EURUSD,Python script cl,,profit,buy,-28.0
51673505845,51705570573,2024-10-16 10:16:04,1729073764378,1,0,234000,51705570573,3,2.0,1.088,0.0,0.0,0.0,0.0,EURUSD,Python script op,,no profit/loss,sell,-28.0
51673506642,51705571373,2024-10-16 10:16:16,1729073776185,0,1,234000,51705570573,4,2.0,1.08805,0.0,0.0,-10.0,0.0,EURUSD,[sl 1.08805],,loss,buy,-38.0
51673508536,51705573277,2024-10-16 10:16:35,1729073795024,1,0,234000,51705573277,3,2.0,1.08801,0.0,0.0,0.0,0.0,EURUSD,Python script op,,no profit/loss,sell,-38.0
51673508832,51705573577,2024-10-16 10:16:38,1729073798090,0,1,234000,51705573277,4,2.0,1.08806,0.0,0.0,-10.0,0.0,EURUSD,[sl 1.08806],,loss,buy,-48.0
51673510682,51705575437,2024-10-16 10:17:05,1729073825597,1,0,234000,51705575437,3,2.0,1.08808,0.0,0.0,0.0,0.0,EURUSD,Python script op,,no profit/loss,sell,-48.0
51673510708,51705575464,2024-10-16 10:17:06,1729073826233,0,1,234000,51705575437,4,2.0,1.08813,0.0,0.0,-10.0,0.0,EURUSD,[sl 1.08813],,loss,buy,-58.0
51673511989,51705576762,2024-10-16 10:17:36,1729073856227,1,0,234000,51705576762,3,2.0,1.08817,0.0,0.0,0.0,0.0,EURUSD,Python script op,,no profit/loss,sell,-58.0
51673513106,51705577821,2024-10-16 10:17:54,1729073874104,0,1,234000,51705576762,4,2.0,1.08822,0.0,0.0,-10.0,0.0,EURUSD,[sl 1.08822],,loss,buy,-68.0
51673513705,51705578430,2024-10-16 10:18:06,1729073886880,1,0,234000,51705578430,3,2.0,1.0882,0.0,0.0,0.0,0.0,EURUSD,Python script op,,no profit/loss,sell,-68.0
51673514184,51705578924,2024-10-16 10:18:20,1729073900320,0,1,234000,51705578430,4,2.0,1.08825,0.0,0.0,-10.0,0.0,EURUSD,[sl 1.08825],,loss,buy,-78.0
