Order_Type,Volume,Open_Price,Close_Price,Stop_Loss,Take_Profit,Outcome
Sell,2.0,1.09647,1.09646,1.10647,1.08647,Loss
Sell,2.0,1.09641,1.09639,1.1064100000000001,1.08641,Loss
Sell,2.0,1.09634,1.09642,1.10634,1.08634,Profit
Sell,2.0,1.09637,1.09644,1.10637,1.08637,Profit
Sell,2.0,1.0964,1.09643,1.1064,1.0864,Profit
Sell,2.0,1.09638,1.09639,1.10638,1.08638,Profit
Sell,2.0,1.09635,1.09637,1.10635,1.08635,Profit
Sell,2.0,1.09633,1.09635,1.10633,1.08633,Profit
Sell,2.0,1.09631,1.09636,1.10631,1.0863099999999999,Profit
Sell,2.0,1.09631,1.09637,1.10631,1.0863099999999999,Profit
Sell,2.0,1.09632,1.09635,1.10632,1.08632,Profit
Sell,2.0,1.0963,1.09637,1.1063,1.0863,Profit
Sell,2.0,1.09633,1.09637,1.10633,1.08633,Profit
Sell,2.0,1.09633,1.09638,1.10633,1.08633,Profit
Sell,2.0,1.09633,1.09636,1.10633,1.08633,Profit
Sell,2.0,1.09632,1.09635,1.10632,1.08632,Profit
Sell,2.0,1.09631,1.09633,1.10631,1.0863099999999999,Profit
Sell,2.0,1.09629,1.09635,1.10629,1.08629,Profit
Sell,2.0,1.09631,1.09632,1.10631,1.0863099999999999,Profit
Sell,2.0,1.09628,1.09632,1.10628,1.08628,Profit
Sell,2.0,1.09628,1.09625,1.10628,1.08628,Loss
Sell,2.0,1.0962,1.09627,1.1062,1.0862,Profit
Sell,2.0,1.09624,1.0963,1.1062400000000001,1.08624,Profit
Sell,2.0,1.09625,1.09631,1.10625,1.08625,Profit
Sell,2.0,1.09626,1.09634,1.10626,1.08626,Profit
Sell,2.0,1.0963,1.09666,1.1063,1.0863,Profit
Buy,2.0,1.09667,1.09699,1.08667,1.10667,Profit
Buy,2.0,1.09709,1.09688,1.08709,1.10709,Loss
Buy,2.0,1.09692,1.09696,1.0869199999999999,1.10692,Profit
Buy,2.0,1.09701,1.09709,1.08701,1.10701,Profit
