Order_Type,Volume,Open_Price,Close_Price,Stop_Loss,Take_Profit,Outcome
Sell,2.0,1.09706,1.09713,1.10706,1.08706,Profit
Sell,2.0,1.0971,1.09714,1.1071,1.0871,Profit
Sell,2.0,1.0971,1.09706,1.1071,1.0871,Loss
Sell,2.0,1.09702,1.09708,1.1070200000000001,1.08702,Profit
Sell,2.0,1.09703,1.09701,1.10703,1.08703,Loss
Sell,2.0,1.09697,1.09689,1.10697,1.08697,Loss
Sell,2.0,1.09685,1.09692,1.1068500000000001,1.08685,Profit
Sell,2.0,1.09687,1.09681,1.10687,1.08687,Loss
Sell,2.0,1.09676,1.09669,1.10676,1.08676,Loss
Sell,2.0,1.09666,1.09678,1.10666,1.08666,Profit
Sell,2.0,1.09674,1.0967500000000001,1.10674,1.08674,Profit
Sell,2.0,1.09671,1.0967500000000001,1.10671,1.08671,Profit
Sell,2.0,1.09671,1.09677,1.10671,1.08671,Profit
Sell,2.0,1.0967500000000001,1.09672,1.1067500000000001,1.08675,Loss
Sell,2.0,1.09667,1.09671,1.10667,1.08667,Profit
Sell,2.0,1.09667,1.09666,1.10667,1.08667,Loss
Sell,2.0,1.09662,1.0966,1.10662,1.08662,Loss
Sell,2.0,1.09656,1.09671,1.10656,1.08656,Profit
Sell,2.0,1.09666,1.09666,1.10666,1.08666,Loss
Sell,2.0,1.09662,1.09673,1.10662,1.08662,Profit
Sell,2.0,1.09668,1.09671,1.10668,1.08668,Profit
Sell,2.0,1.09667,1.09676,1.10667,1.08667,Profit
Sell,2.0,1.09672,1.09672,1.10672,1.08672,Loss
Sell,2.0,1.09668,1.09667,1.10668,1.08668,Loss
Sell,2.0,1.09663,1.09667,1.10663,1.08663,Profit
Sell,2.0,1.09663,1.09667,1.10663,1.08663,Profit
Sell,2.0,1.09662,1.0966,1.10662,1.08662,Loss
Sell,2.0,1.09657,1.0966,1.10657,1.08657,Profit
Sell,2.0,1.09656,1.09666,1.10656,1.08656,Profit
Sell,2.0,1.09662,1.09666,1.10662,1.08662,Profit
