Order_Type,Volume,Open_Price,Close_Price,Stop_Loss,Take_Profit,Outcome
Sell,2.0,1.09415,1.09418,1.10415,1.08415,Profit
Sell,2.0,1.09413,1.09413,1.10413,1.08413,Loss
Sell,2.0,1.09408,1.09414,1.10408,1.08408,Profit
Sell,2.0,1.09409,1.09408,1.10409,1.08409,Loss
Sell,2.0,1.09403,1.09414,1.10403,1.08403,Profit
Sell,2.0,1.0941,1.0941,1.1041,1.0841,Loss
Sell,2.0,1.09405,1.09408,1.10405,1.08405,Profit
Sell,2.0,1.09404,1.09404,1.10404,1.08404,Loss
Sell,2.0,1.09399,1.09404,1.10399,1.08399,Profit
Sell,2.0,1.094,1.09401,1.104,1.084,Profit
