Order_Type,Volume,Open_Price,Close_Price,Stop_Loss,Take_Profit,Outcome
Sell,2.0,1.09673,1.09676,1.10673,1.08673,Profit
Sell,2.0,1.09672,1.09677,1.10672,1.08672,Profit
Sell,2.0,1.09673,1.0968,1.10673,1.08673,Profit
Sell,2.0,1.09676,1.09681,1.10676,1.08676,Profit
Sell,2.0,1.09676,1.09676,1.10676,1.08676,Loss
Sell,2.0,1.09672,1.09668,1.10672,1.08672,Loss
Sell,2.0,1.09663,1.09659,1.10663,1.08663,Loss
Sell,2.0,1.09655,1.09657,1.10655,1.08655,Profit
Sell,2.0,1.09655,1.09656,1.10655,1.08655,Profit
Sell,2.0,1.09652,1.0965799999999999,1.10652,1.08652,Profit
Sell,2.0,1.09652,1.09657,1.10652,1.08652,Profit
Sell,2.0,1.09653,1.09646,1.10653,1.08653,Loss
Sell,2.0,1.09642,1.09643,1.10642,1.08642,Profit
Sell,2.0,1.0964,1.09636,1.1064,1.0864,Loss
Sell,2.0,1.09632,1.09634,1.10632,1.08632,Profit
Sell,2.0,1.09632,1.09652,1.10632,1.08632,Profit
Sell,2.0,1.09648,1.09645,1.10648,1.08648,Loss
Sell,2.0,1.09636,1.09644,1.10636,1.08636,Profit
Sell,2.0,1.0964,1.09636,1.1064,1.0864,Loss
Sell,2.0,1.09632,1.09644,1.10632,1.08632,Profit
Sell,2.0,1.0964,1.09657,1.1064,1.0864,Profit
Sell,2.0,1.09653,1.0966,1.10653,1.08653,Profit
Sell,2.0,1.09656,1.09656,1.10656,1.08656,Loss
Sell,2.0,1.09652,1.09653,1.10652,1.08652,Profit
Sell,2.0,1.09648,1.09645,1.10648,1.08648,Loss
Sell,2.0,1.0964,1.09638,1.1064,1.0864,Loss
Sell,2.0,1.0963,1.09642,1.1063,1.0863,Profit
Sell,2.0,1.09638,1.09642,1.10638,1.08638,Profit
Sell,2.0,1.09637,1.09645,1.10637,1.08637,Profit
Sell,2.0,1.09641,1.09646,1.1064100000000001,1.08641,Profit
Sell,2.0,1.09642,1.09659,1.10642,1.08642,Profit
Sell,2.0,1.09656,1.09653,1.10656,1.08656,Loss
Sell,2.0,1.09649,1.09651,1.10649,1.08649,Profit
Sell,2.0,1.09618,1.09611,1.10618,1.08618,Loss
Buy,2.0,1.0961,1.09607,1.0861,1.1061,Loss
Buy,2.0,1.09612,1.09601,1.08612,1.10612,Loss
Buy,2.0,1.09606,1.09608,1.08606,1.10606,Profit
Buy,2.0,1.09613,1.09593,1.08613,1.10613,Loss
Buy,2.0,1.09595,1.09596,1.08595,1.10595,Profit
Buy,2.0,1.09599,1.09607,1.08599,1.10599,Profit
Buy,2.0,1.09612,1.096,1.08612,1.10612,Loss
Buy,2.0,1.09606,1.096,1.08606,1.10606,Loss
Buy,2.0,1.09604,1.09589,1.08604,1.10604,Loss
Buy,2.0,1.0959,1.0958,1.0859,1.1059,Loss
Buy,2.0,1.09584,1.09577,1.08584,1.10584,Loss
Buy,2.0,1.0958,1.09575,1.0858,1.1058000000000001,Loss
Buy,2.0,1.09577,1.09585,1.08577,1.10577,Profit
Buy,2.0,1.0959,1.09561,1.0859,1.1059,Loss
Buy,2.0,1.09565,1.09562,1.08565,1.10565,Loss
Buy,2.0,1.09567,1.09554,1.08567,1.10567,Loss
