Order_Type,Volume,Open_Price,Close_Price,Stop_Loss,Take_Profit,Outcome
Buy,2.0,1.09691,1.09683,1.08691,1.10691,Loss
Buy,2.0,1.09689,1.09698,1.08689,1.10689,Profit
Buy,2.0,1.09701,1.09701,1.08701,1.10701,Loss
Buy,2.0,1.09706,1.09708,1.08706,1.10706,Profit
Buy,2.0,1.09711,1.09699,1.08711,1.10711,Loss
Buy,2.0,1.09704,1.09703,1.08704,1.10704,Loss
Buy,2.0,1.09707,1.0973600000000001,1.08707,1.10707,Profit
Buy,2.0,1.09741,1.09737,1.08741,1.10741,Loss
Buy,2.0,1.09746,1.09729,1.08746,1.10746,Loss
Buy,2.0,1.09733,1.0972,1.08733,1.10733,Loss
Buy,2.0,1.09724,1.09727,1.08724,1.10724,Profit
Buy,2.0,1.09731,1.09712,1.08731,1.10731,Loss
Buy,2.0,1.09716,1.09723,1.08716,1.10716,Profit
Buy,2.0,1.09727,1.09718,1.08727,1.10727,Loss
Buy,2.0,1.09721,1.09706,1.08721,1.10721,Loss
Buy,2.0,1.09713,1.09707,1.08713,1.10713,Loss
Buy,2.0,1.09714,1.09716,1.08714,1.10714,Profit
Buy,2.0,1.0972,1.09706,1.0872,1.1072,Loss
Buy,2.0,1.09712,1.09707,1.08712,1.10712,Loss
Buy,2.0,1.09712,1.09706,1.08712,1.10712,Loss
Buy,2.0,1.09712,1.09717,1.08712,1.10712,Profit
Buy,2.0,1.09722,1.09711,1.08722,1.10722,Loss
Buy,2.0,1.09715,1.09717,1.08715,1.10715,Profit
Buy,2.0,1.0972,1.09709,1.0872,1.1072,Loss
Buy,2.0,1.09713,1.09717,1.08713,1.10713,Profit
Buy,2.0,1.09721,1.09721,1.08721,1.10721,Loss
Buy,2.0,1.09727,1.09721,1.08727,1.10727,Loss
Buy,2.0,1.09725,1.09728,1.08725,1.10725,Profit
Buy,2.0,1.09733,1.09722,1.08733,1.10733,Loss
Buy,2.0,1.09726,1.09723,1.08726,1.10726,Loss
