time,open,high,low,close,Returns,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,Momentum,Volatility,ROC_5,Price_Change,Lag_1,Cumulative_Returns,Signal,MA_Signal,Final_Signal,Strategy_Returns,Portfolio_Value,Drawdown
2024-11-29 00:21:00,1.05529,1.05546,1.05529,1.05546,0.00016109315922641088,1.055378,1.0551650000000001,1.0550134999999998,1.055326327555588,1.0552119678691854,0.00041000000000002146,0.00018587818600146878,0.00038860717501543185,0.00016109315922641088,1.05529,0.0006541710515088894,1.06455,1,1.06455,0.00017149172265447572,1.0001714917226545,0.0
2024-11-29 00:22:00,1.05546,1.05546,1.05546,1.05546,0.0,1.05539,1.0552110000000001,1.0550519999999999,1.0553708850370587,1.0552570646202426,6.000000000017103e-05,0.00012011478728544908,5.6850483229231585e-05,0.0,1.05546,0.0006541710515088894,1.06455,1,1.06455,0.0,1.0001714917226545,0.0
2024-11-29 00:23:00,1.05531,1.0555,1.05531,1.05541,-4.737270952959172e-05,1.05538,1.0552570000000001,1.055088,1.055383923358039,1.0552848710529257,-5.0000000000105516e-05,0.00011929077343616492,-4.737270952959172e-05,-4.737270952959172e-05,1.05546,0.0006067673521241712,1.06455,1,1.06455,-5.043061792972687e-05,1.0001210524562911,-5.04306179298457e-05
2024-11-29 00:24:00,1.05531,1.05543,1.05531,1.05542,9.474990761981772e-06,1.0554080000000001,1.055328,1.0551245,1.0553959489053595,1.0553094399523937,0.000140000000000029,7.88263946451927e-05,0.0001326662118110722,9.474990761981772e-06,1.05541,0.0006162480920011149,1.06455,1,1.06455,1.0086601415667696e-05,1.0001311402787147,-4.034452518764375e-05
2024-11-29 00:25:00,1.05529,1.05542,1.05529,1.05541,-9.4749009873496e-06,1.0554320000000001,1.055364,1.05515,1.055400632603573,1.055327723597413,0.00011999999999989797,8.029361203863761e-05,0.00011371281827732282,-9.4749009873496e-06,1.05542,0.0006067673521241712,1.06455,1,1.06455,-1.0086505846083016e-05,1.0001210524501214,-5.043062409851922e-05
2024-11-29 00:26:00,1.05541,1.05543,1.05541,1.05543,1.8949981523963544e-05,1.055426,1.055402,1.055174,1.0554104217357154,1.0553463193069743,-2.999999999997449e-05,2.5599098293647805e-05,-2.8423625717644008e-05,1.8949981523963544e-05,1.05541,0.0006257288318782805,1.06455,1,1.06455,2.017320283133539e-05,1.0001412280949684,-3.025843861433733e-05
2024-11-29 00:27:00,1.05529,1.05529,1.05498,1.05509,-0.0003221435812891249,1.0553519999999998,1.055371,1.0551765000000002,1.055303614490477,1.0552997157966153,-0.00036999999999998145,0.00014316072848257874,-0.00035055805051820155,-0.0003221435812891249,1.05543,0.00030338367606241867,1.06455,1,1.06455,-0.000342937949461338,0.9997982417130338,-0.0003731860113087904
2024-11-29 00:28:00,1.05509,1.05509,1.05489,1.05508,-9.477864447604567e-06,1.055286,1.055333,1.0551825000000001,1.0552290763269847,1.055259767469958,-0.00032999999999994145,0.00014564708218848927,-0.0003126746951420678,-9.477864447604567e-06,1.05509,0.00029390293618547503,1.06455,1,1.06455,-1.0089660597697442e-05,0.9997881540881087,-0.00038327190658628285
2024-11-29 00:29:00,1.05508,1.05511,1.05508,1.05508,0.0,1.055218,1.055313,1.055187,1.0551793842179897,1.0552270824754202,-0.00034000000000000696,0.00014453333206082572,-0.00032214663356766593,0.0,1.05508,0.00029390293618547503,1.06455,1,1.06455,0.0,0.9997881540881087,-0.00038327190658628285
2024-11-29 00:30:00,1.05508,1.05517,1.05504,1.05516,7.582363422686811e-05,1.0551679999999999,1.0553000000000001,1.055197,1.0551729228119933,1.0552148856617074,-0.00024999999999986144,0.0001571267508045598,-0.00023687476904699079,7.582363422686811e-05,1.05508,0.0003697488552010242,1.06455,-1,-1.06455,-8.071804981621246e-05,0.9997074531380814,-0.0004639590194416269
2024-11-29 00:31:00,1.05517,1.05521,1.05517,1.05521,4.738617839938897e-05,1.055124,1.055275,1.05522,1.0551852818746623,1.0552139973595787,-0.000220000000000109,0.0001606034779571912,-0.0002084458467166428,4.738617839938897e-05,1.05516,0.00041715255458552036,1.06455,-1,-1.06455,-5.044495621506953e-05,0.99965702293938,-0.0005143805712642804
2024-11-29 00:32:00,1.05521,1.05529,1.05504,1.05516,-4.7383933055922256e-05,1.0551380000000001,1.055245,1.055228,1.0551768545831082,1.055204179657837,7.00000000000145e-05,4.860382859111694e-05,6.634505113312095e-05,-4.7383933055922256e-05,1.05521,0.00036974885520080214,1.06455,-1,-1.06455,5.044256593468204e-05,0.9997074482046716,-0.0004639639520055249
2024-11-29 00:33:00,1.05506,1.0552,1.05506,1.0552,3.790894271937795e-05,1.055162,1.055224,1.0552405,1.055184569722072,1.0552034197200484,0.00011999999999989797,4.767042191014076e-05,0.00011373545134008012,3.790894271937795e-05,1.05516,0.0004076718147083547,1.06455,-1,-1.06455,-4.03559649719138e-05,0.9996671040459097,-0.0005043011932643968
2024-11-29 00:34:00,1.0552,1.05521,1.0552,1.05521,9.476876421610214e-06,1.055188,1.0552030000000001,1.0552655,1.0551930464813815,1.055204616134585,0.00012999999999996348,4.67188000366617e-05,0.00012321340561860517,9.476876421610214e-06,1.0552,0.0004171525545852983,1.06455,-1,-1.06455,-1.0088608794625154e-05,0.9996570187955722,-0.0005143847143615148
2024-11-29 00:35:00,1.05521,1.05531,1.05521,1.05531,9.476786611184451e-05,1.055218,1.055193,1.0552785,1.0552320309875878,1.0552237768373876,0.00014999999999987246,5.23375411788969e-05,0.00014215853519838895,9.476786611184451e-05,1.05521,0.0005119599533545127,1.06455,-1,-1.06455,-0.00010088513186936408,0.9995561682654069,-0.0006152179524610985
2024-11-29 00:36:00,1.05531,1.05531,1.05525,1.05531,0.0,1.055238,1.055181,1.0552915,1.055258020658392,1.0552394537760443,9.999999999998899e-05,5.2337423269013294e-05,9.476786611184451e-05,0.0,1.05531,0.0005119599533545127,1.06455,-1,-1.06455,-0.0,0.9995561682654069,-0.0006152179524610985
2024-11-29 00:37:00,1.05531,1.05531,1.05495,1.05523,-7.58071088117207e-05,1.0552519999999999,1.0551949999999999,1.055283,1.055248680438928,1.0552377349076725,6.999999999979245e-05,6.199635408131849e-05,6.634064975918896e-05,-7.58071088117207e-05,1.05531,0.00043611403433896356,1.06455,-1,-1.06455,8.070045768551728e-05,0.9996368329056683,-0.0005345671431459695
2024-11-29 00:38:00,1.05523,1.05523,1.05523,1.05523,0.0,1.0552579999999998,1.05521,1.0552715000000001,1.0552424536259521,1.0552363285608228,2.999999999997449e-05,6.053044188290044e-05,2.8430629264608598e-05,0.0,1.05523,0.00043611403433896356,1.06455,-1,-1.06455,-0.0,0.9996368329056683,-0.0005345671431459695
2024-11-29 00:39:00,1.05524,1.05526,1.05524,1.05526,2.8429820987163623e-05,1.0552679999999999,1.055228,1.0552705000000002,1.0552483024173016,1.055240632458855,5.0000000000105516e-05,6.141406095729634e-05,4.73839330561443e-05,2.8429820987163623e-05,1.05523,0.00046455625397001654,1.06455,-1,-1.06455,-3.026496593188504e-05,0.9996065789309762,-0.0005648159304214718
2024-11-29 00:40:00,1.05525,1.05528,1.05504,1.05515,-0.00010423971343564986,1.055236,1.055227,1.0552635000000001,1.055215534944868,1.0552241538299723,-0.00015999999999993797,5.662010974616961e-05,-0.00015161421762321936,-0.00010423971343564986,1.05526,0.00036026811532363645,1.06455,-1,-1.06455,0.00011096838693792107,0.9997175036606127,-0.00045391022019618493
2024-11-29 00:41:00,1.05518,1.05524,1.05493,1.05523,7.581860398975238e-05,1.0552199999999998,1.055229,1.055252,1.055220356629912,1.0552252167699772,-8.000000000008001e-05,7.419614482926595e-05,-7.58071088117207e-05,7.581860398975238e-05,1.05515,0.00043611403433896356,1.06455,-1,-1.06455,-8.07126948772909e-05,0.9996368137667763,-0.0005345862787563974
2024-11-29 00:42:00,1.05524,1.05525,1.05523,1.05524,9.476606995795223e-06,1.0552219999999999,1.055237,1.055241,1.0552269044199414,1.0552279046299813,1.0000000000065512e-05,6.613328419953592e-05,9.476606995795223e-06,9.476606995795223e-06,1.05523,0.00044559477421612925,1.06455,-1,-1.06455,-1.0088321977373805e-05,0.9996267291087386,-0.0005446692076551969
2024-11-29 00:43:00,1.05525,1.05526,1.05525,1.05526,1.8953034380819744e-05,1.055228,1.0552430000000002,1.0552335,1.055237936279961,1.0552337401518028,3.0000000000196536e-05,6.653929083353759e-05,2.8429820987163623e-05,1.8953034380819744e-05,1.05524,0.00046455625397001654,1.06455,-1,-1.06455,-2.0176452750101662e-05,0.999606560187271,-0.0005648346709127762
2024-11-29 00:44:00,1.05526,1.05526,1.05496,1.05496,-0.0002842901275517118,1.055168,1.055218,1.0552105,1.0551452908533074,1.0551839692151113,-0.000300000000000189,0.00014293448994390708,-0.0002842901275517118,-0.0002842901275517118,1.05526,0.0001801340576617072,1.06455,-1,-1.06455,0.0003026410552851748,0.999909082171516,-0.00026236455778856405
2024-11-29 00:45:00,1.05525,1.05553,1.05525,1.05553,0.0005403048456815718,1.055244,1.05524,1.0552165,1.0552735272355385,1.055246883903273,0.00038000000000004697,0.00029706472637301077,0.000360138368952434,0.0005403048456815718,1.05496,0.000720536230647495,1.06455,1,1.06455,0.0005751815234703172,1.000484211400731,0.0
